This file is created using OBDScope v1.71
31.10.2013
www.obdscope.com

;;0x04;0x05;0x06;0x07;0x0b;0x0b;0x0c;0x0d;0x0d;0x0e;0x0f;0x10;0x11;0x15;0x21;0x24;0x24;0x24;0x439;0x438;0x437;0x437;0x437;0x442;0x442;0x443;0x470
Cycle;Timestamp;Calculated Load (%);Engine Coolant Temperature (°C);Short Term Fuel Trim B1 (%);Long Term Fuel Trim B1 (%);Intake Manifold Pressure (kPa(a));Intake Manifold Pressure (bar(g));Engine RPM (1/min);Vehicle Speed (km/h);Vehicle Speed (m/s);Timing advance (°);Intake Air Temperature (°C);Air Flow Rate (g/s);Absolute Throttle Position (%);O2 Sensor B1S2 (V);Distance with MIL (km);O2 Sensor (L/WB) B1S1 (V);O2 Sensor (L/WB) B1S1 (EqR);O2 Sensor (L/WB) B1S1 (lambda);Fuel System (0=Closed 1=Cold(O) 2=Load(O) 3=Fail(O) -1=Fail(C);OBD Port Voltage (V);Momentary Fuel Economy (l/100km);Momentary Fuel Economy (km/l);Momentary Fuel Economy (l/h);Engine power (hp);Engine power (kW);Engine torque (Nm);AFR B1S1
0;08:30:46.0;6.27451;43;-10.1556;-2.3436;40;-0.61325;1340.5;0;0;17;;;;;;;;;;;;;0.01;;;0;
1;08:30:47.0;6.27451;43;-10.1556;-2.3436;40;-0.61325;1340.5;0;0;17;18;7.46;14.1176;0.01;0;;;;;;;;2.53847;8.30027;6.10485;44.0912;
2;08:30:48.0;6.27451;43;-10.1556;-2.3436;40;-0.61325;1340.5;0;0;17;18;7.46;14.1176;0.01;0;2.16711;0.996109;1.00391;0;13.5;;;2.53847;8.30027;6.10485;44.0912;14.7224
3;08:30:49.002;6.27451;44;-10.1556;-2.3436;42;-0.59325;1340.5;0;0;17;18;7.46;14.1176;0.01;0;2.16711;0.996109;1.00391;0;13.5;;;2.53847;8.30027;6.10485;44.0912;14.7224
4;08:30:50.0;6.27451;44;-10.1556;-2.3436;42;-0.59325;1303;0;0;17;18;7.46;14.1176;0.01;0;2.16711;0.996109;1.00391;0;13.5;;;2.53847;8.30027;6.10485;45.3601;14.7224
5;08:30:51.0;6.27451;44;-10.1556;-2.3436;42;-0.59325;1303;0;0;17;18;7.46;14.1176;0.005;0;2.16711;0.996109;1.00391;0;13.5;;;2.53847;8.30027;6.10485;45.3601;14.7224
6;08:30:52.0;6.27451;44;-10.1556;-2.3436;42;-0.59325;1303;0;0;17;18;7.46;14.1176;0.005;0;2.1521;1;1;0;13.6;;;2.53847;8.30027;6.10485;45.3601;14.7915
7;08:30:53.0;6.27451;44;-10.1556;-2.3436;41;-0.60325;1318.75;0;0;17;18;7.46;14.1176;0.005;0;2.1521;1;1;0;13.6;;;2.53847;8.30027;6.10485;45.3601;14.7915
8;08:30:54.0;6.27451;44;-10.1556;-2.3436;41;-0.60325;1318.75;0;0;17;18;7.1;14.1176;0.005;0;2.1521;1;1;0;13.6;;;2.41597;7.89972;5.81024;42.6556;14.7915
9;08:30:55.078125;6.27451;44;-10.1556;-2.3436;41;-0.60325;1318.75;0;0;17;18;7.1;14.1176;0.005;0;2.17212;0.993512;1.00653;0;13.6;;;2.41597;7.89972;5.81024;42.6556;14.7915
